diagnosis_code,claim_count,average_claim_payment,total_medicare_payment
4240,55,45236.36,2488000.00
3962,37,31945.95,1182000.00
4241,195,31538.46,6150000.00
56983,32,27000.00,864000.00
5109,26,23615.38,614000.00
4210,42,22880.95,961000.00
20500,40,22500.00,900000.00
99604,26,22423.08,583000.00
430,51,21568.63,1100000.00
7384,56,21000.00,1176000.00
4414,174,20965.52,3648000.00
4148,48,19970.83,958600.00
99661,44,19954.55,878000.00
03812,68,19250.00,1309000.00
41011,116,18844.83,2186000.00
1570,29,18551.72,538000.00
4254,40,18550.00,742000.00
42822,43,18116.28,779000.00
5602,37,17945.95,664000.00
99883,33,17818.18,588000.00
20300,42,17761.90,746000.00
0388,60,17650.00,1059000.00
51881,817,17420.93,14232900.00
1540,34,17058.82,580000.00
0382,30,17033.33,511000.00
5185,44,16884.09,742900.00
44024,112,16803.57,1882000.00
99673,118,16737.29,1975000.00
03840,28,16607.14,465000.00
1534,48,16520.83,793000.00
1539,26,16500.00,429000.00
4260,106,16452.83,1744000.00
99647,31,16451.61,510000.00
25070,90,16444.44,1480000.00
1533,42,16404.76,689000.00
0380,100,16220.00,1622000.00
72252,135,16168.15,2182700.00
99641,55,16036.36,882000.00
41001,34,15970.59,543000.00
03819,37,15945.95,590000.00
85221,91,15758.24,1434000.00
99649,64,15750.00,1008000.00
V5789,1807,15728.58,28421550.00
03811,94,15691.49,1475000.00
70703,77,15610.39,1202000.00
1623,154,15605.19,2403200.00
03849,144,15590.28,2245000.00
73027,37,15513.51,574000.00
85220,52,15384.62,800000.00
99666,91,15307.69,1393000.00
5400,29,15206.90,441000.00
56081,240,15200.83,3648200.00
99643,26,15192.31,395000.00
51884,344,15020.35,5167000.00
73028,29,14931.03,433000.00
0389,1648,14810.92,24408390.00
99669,32,14781.25,473000.00
1536,49,14530.61,712000.00
41041,143,14496.50,2073000.00
V571,35,14400.00,504000.00
99674,72,14312.50,1030500.00
2113,82,14304.88,1173000.00
41401,1675,14237.49,23847800.00
99672,81,14225.93,1152300.00
1830,40,14125.00,565000.00
4439,36,14055.56,506000.00
40391,169,13961.54,2359500.00
55221,48,13958.33,670000.00
9961,40,13950.00,558000.00
44422,49,13938.78,683000.00
7213,101,13844.55,1398300.00
