provider_number,inpatient_claims,average_claim_payment,total_medicare_payment,average_length_of_stay
23006G,772,9430.70,7280500.00,5.80
1000AH,634,9648.11,6116900.00,5.54
3600NG,537,10512.10,5645000.00,5.94
2100WC,400,10115.00,4046000.00,5.52
2600ZT,422,9288.84,3919890.00,5.16
1401RR,431,8954.25,3859280.00,5.52
3400XN,396,9699.49,3841000.00,5.25
0501MA,359,10356.55,3718000.00,5.25
3100JN,315,11325.71,3567600.00,5.17
4500DP,337,9839.17,3315800.00,5.51
1002DC,325,10016.62,3255400.00,5.93
4400MM,301,10089.20,3036850.00,6.48
0400AC,299,10030.10,2999000.00,5.94
1100TC,303,9712.87,2943000.00,5.22
0503SD,296,9659.46,2859200.00,5.90
3301QB,287,9836.93,2823200.00,5.20
1700JJ,297,9180.47,2726600.00,5.75
3401MN,268,10116.79,2711300.00,6.14
4500NJ,254,10607.64,2694340.00,5.67
2201YM,284,9420.42,2675400.00,6.05
3100VC,261,9639.85,2516000.00,5.19
1000AV,233,10682.40,2489000.00,6.10
1001ZQ,254,9636.61,2447700.00,5.24
3302VG,210,11640.95,2444600.00,5.61
1500QB,240,9779.58,2347100.00,5.59
0505KQ,249,8885.94,2212600.00,5.34
4401DM,233,9446.44,2201020.00,5.28
4900NA,225,9754.67,2194800.00,5.67
1400RU,219,10004.11,2190900.00,6.14
15008B,235,9144.68,2149000.00,5.83
1100SK,230,9268.26,2131700.00,5.39
0700JR,233,8985.84,2093700.00,5.92
3100VM,213,9701.41,2066400.00,5.79
1501ZA,217,9423.04,2044800.00,5.23
1800WP,184,11014.13,2026600.00,6.17
2000HG,231,8713.42,2012800.00,4.86
3902XB,213,9290.14,1978800.00,4.99
0300DD,209,9436.36,1972200.00,5.60
1001NA,192,10271.88,1972200.00,6.02
1002ZT,206,9388.35,1934000.00,5.60
3400SP,222,8683.78,1927800.00,4.97
2100NQ,206,9097.09,1874000.00,5.53
3302BQ,215,8613.02,1851800.00,5.87
2100ZH,206,8946.12,1842900.00,5.60
3400ZQ,199,9254.12,1841570.00,5.43
05018N,217,8366.36,1815500.00,5.04
10026U,196,9016.84,1767300.00,5.39
0507AB,177,9745.76,1725000.00,5.74
